Elegido;60;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;;;;
Numero;Codigo;C;C+;C-;B;B+;B-;D;D+;D-;d;d+;d-;GR;GR+;GR-;ARO INT+;ARO INT -;ARO EXT +;ARO EXT -;Cage type;Fecha Rev. Plano;Rev.;;;;
47;B&P-031-12025ROLLERS-BBS;37;0;-120;37;0;-120;52;0;-16;25;0;-12;Axial;0.21;0.15;65;60;65;60;GRPA66-25-JB/T6638;2024-09-17 00:00:00;F;;;;
48;B&P-042-22212CKW33C3 - HLBR;28;0;-150;28;0;-150;110;0;-15;60;46;0;C3;95;75;64;58;64;58;Acero/Steel ;2022-09-20 00:00:00;B;;;;
49;B&P-042-22309-CKW33C3-HLBR;36;0;-150;36;0;-150;100;0;-15;45;39;0;C3;90;60;64;58;64;58;Acero/Steel ;2024-03-08 00:00:00;B;;;;
50;B&P-042-22208CW33C3 - HLBR;23;0;-120;23;0;-120;80;0;-13;40;0;-12;C3;60;45;64;58;64;58;Acero/Steel ;2023-06-16 00:00:00;B;;;;
51;B&P-042-21308CKW33C3 - HLBR;23;0;-150;23;0;-150;90;0;-18;40;39;0;C3;65;50;64;58;64;58;Acero/Steel ;2023-08-03 00:00:00;B;;;;
52;B&P-042-22213CKW33C3 - HLBR;31;0;-150;31;0;-150;120;0;-15;65;46;0;C3;95;75;64;58;64;58;Acero/Steel ;2023-08-03 00:00:00;A;;;;
53;B&P-042-22310-CKW33C3 - HLBR;40;0;-150;40;0;-150;110;0;-18;50;39;0;C3;90;60;64;58;64;58;Acero/Steel ;2024-03-08 00:00:00;C;;;;
54;B&P-042-22222-CW33C3-HLBR;53;0;-200;53;0;-200;200;0;-30;110;0;-20;C3;160;120;64;58;64;58;Acero/Steel ;2024-11-06 00:00:00;B;;;;
55;B&P-042-22317-CW33C3-HLBR;60;0;-150;60;0;-150;180;0;-18;85;0;-20;C3;80;125;64;58;64;58;Acero/Steel ;2024-03-08 00:00:00;A;;;;
56;B&P-042-21308-CW33C3-HLBR;23;0;-120;23;0;-150;90;0;-15;40;0;-12;C3;60;45;64;58;64;58;Acero/Steel ;2024-08-13 00:00:00;A;;;;
57;B&P-042-22205-CW33C3 - HLBR;18;0;-120;18;0;-120;52;0;-13;25;0;-10;C3;55;40;64;58;64;58;Acero/Steel ;2024-07-30 00:00:00;C;;;;
58;B&P-042-22310-CW33C3 - HLBR;40;0;-120;40;0;-120;110;0;-15;50;0;-12;C3;75;55;64;58;64;58;Acero/Steel ;2024-08-13 00:00:00;A;;;;
59;B&P-042-22314-CW33C3-HLBR;51;0;-150;51;0;-150;150;0;-18;70;0;-15;C3;110;80;64;58;64;58;Acero/Steel ;2024-10-16 00:00:00;A;;;;
60;B&P-042-22206-CKW33C3-HLBR;20;0;-120;20;0;-120;62;0;-13;30;3;0;C3;55;40;64;58;64;58;Acero/Steel;2024-10-16 00:00:00;A;;;;
61;B&P-042-22207-CKW33C3-HLBR;23;0;-120;23;0;-120;72;0;-13;35;39;0;C3;65;50;64;58;64;58;Acero/Steel;2025-10-16 00:00:00;A;;;;
62;BPB-042-22210-CW33C3-HLBR;23;0;-120;23;0;-120;90;0;-15;50;0;-12;C3;75;55;64;58;64;58;Acero/Steel;2025-05-21 00:00:00;B;;;;
63;B&P-042-22213-CW33C3 - HLBR;31;0;-150;31;0;-150;120;0;-15;65;0;-15;C3;90;65;64;58;64;58;Acero/Steel;16/06/2023;B;;;;
64;B&P-042-22211-CKW33C3 - HLBR;25;0;-150;25;0;-150;100;0;-15;55;46;0;C3;95;75;64;58;64;58;Acero/Steel;03/08/2023;C;;;;
65;B&P-042-22210-CW33C3 -HLBR;23;0;-120;23;0;-120;90;0;-15;50;0;-12;C3;75;55;64;58;64;58;Acero/Steel;21/05/2025;B;;;;
66;B&P-042-22211-CW33C3 - HLBR;25;0;-150;25;0;-150;100;0;-15;55;0;-15;C3;90;60;-;-;-;-;Acero/Steel;16/10/2024;C;;;;
67;B&P-042-22213-CW33C3 - HLBR;31;0;-150;31;0;-150;120;0;-15;65;0;-15;C3;90;65;64;58;64;58;Acero/Steel;16/06/2023;B;;;;
68;B&P-042-22211-CKW33C3 - HLBR;25;0;-150;25;0;-150;100;0;-15;55;46;0;C3;95;75;64;58;64;58;Acero/Steel;03/08/2023;C;;;;
69;B&P-042-22210-CW33C3 -HLBR;23;0;-120;23;0;-120;90;0;-15;50;0;-12;C3;75;55;64;58;64;58;Acero/Steel;21/05/2025;B;;;;
70;B&P-042-22211-CW33C3 - HLBR;25;0;-150;25;0;-150;100;0;-15;55;0;-15;C3;90;60;-;-;-;-;Acero/Steel;16/10/2024;C;;;;
71;B&P-042-22213-CW33C3 - HLBR;31;0;-150;31;0;-150;120;0;-15;65;0;-15;C3;90;65;64;58;64;58;Acero/Steel;16/06/2023;B;;;;
72;B&P-042-22211-CKW33C3 - HLBR;25;0;-150;25;0;-150;100;0;-15;55;46;0;C3;95;75;64;58;64;58;Acero/Steel;03/08/2023;C;;;;
73;B&P-042-22210-CW33C3 -HLBR;23;0;-120;23;0;-120;90;0;-15;50;0;-12;C3;75;55;64;58;64;58;Acero/Steel;21/05/2025;B;;;;
74;B&P-042-22211-CW33C3 - HLBR;25;0;-150;25;0;-150;100;0;-15;55;0;-15;C3;90;60;-;-;-;-;Acero/Steel;16/10/2024;C;;;;
75;B&P-042-22211-CKW33C3 - HLBR;25;0;-150;25;0;-150;100;0;-15;55;46;0;C3;95;75;64;58;64;58;Acero/Steel;03/08/2023;C;;;;
76;B&P-042-22211-CW33C3 - HLBR;25;0;-150;25;0;-150;100;0;-15;55;0;-15;C3;90;60;-;-;-;-;Acero/Steel;16/10/2024;C;;;;
77;B&P-042-22213-CW33C3 - HLBR;31;0;-150;31;0;-150;120;0;-15;65;0;-15;C3;90;65;64;58;64;58;Acero/Steel;16/06/2023;B;;;;
78;B&P-042-22211-CKW33C3 - HLBR;25;0;-150;25;0;-150;100;0;-15;55;46;0;C3;95;75;64;58;64;58;Acero/Steel;03/08/2023;C;;;;
79;B&P-042-22211-CW33C3 - HLBR;25;0;-150;25;0;-150;100;0;-15;55;0;-15;C3;90;60;-;-;-;-;Acero/Steel;16/10/2024;C;;;;
80;B&P-042-22213-CW33C3 - HLBR;31;0;-150;31;0;-150;120;0;-15;65;0;-15;C3;90;65;64;58;64;58;Acero/Steel;16/06/2023;B;;;;
81;B&P-042-22210-CW33C3 -HLBR;23;0;-120;23;0;-120;90;0;-15;50;0;-12;C3;75;55;64;58;64;58;Acero/Steel;21/05/2025;B;;;;
82;B&P-042-22211-CKW33C3 - HLBR;25;0;-150;25;0;-150;100;0;-15;55;46;0;C3;95;75;64;58;64;58;Acero/Steel;03/08/2023;C;;;;
83;B&P-042-22210-CW33C3 -HLBR;23;0;-120;23;0;-120;90;0;-15;50;0;-12;C3;75;55;64;58;64;58;Acero/Steel;21/05/2025;B;;;;
84;B&P-042-22211-CKW33C3 - HLBR;25;0;-150;25;0;-150;100;0;-15;55;46;0;C3;95;75;64;58;64;58;Acero/Steel;03/08/2023;C;;;;
85;B&P-042-22210-CW33C3 -HLBR;23;0;-120;23;0;-120;90;0;-15;50;0;-12;C3;75;55;64;58;64;58;Acero/Steel;21/05/2025;B;;;;
86;B&P-042-22211-CKW33C3 - HLBR;25;0;-150;25;0;-150;100;0;-15;55;46;0;C3;95;75;64;58;64;58;Acero/Steel;03/08/2023;C;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
