Elegido;356;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;;;;;;;;
Numero;Codigo;C;C+;C-;D;D+;D-;B;B+;B-;d;d+;d-;GA/GR;GR/GA-;GR/GA+;ARO INT+;ARO INT -;ARO EXT +;ARO EXT -;PORCENTAJE DE GRASA;TIPO DE GRASA;TORQUE DE SELLOS +;TORQUE DE SELLOS -;Fecha Rev. Plano;Rev.;Tipo de prisionero;;;;;;;;
51;B&P-047-ECL207-23DG - ZJXY;19;0;-120;72;0;-13;37.6;0;-120;36.5125;21;0;C0;6;20;64;58;64;58;6 - 7.3 gr;Polyrex;0.448;0.3;2017-08-28 00:00:00;0;-;;;;;;;;
52;ECL207-35-A2;NO;NO;NO;NO;NO;NO;37.8;120;-20;34.85;0;-160;NO;NO;NO;64;58;NO;NO;NO;NO;NO;NO;………………;……….;-;;;;;;;;
53;ECL-207-35D1;18;0;-120;72;0;-13;32.5;0;-120;35;18;0;C3;15;33;NO;NO;NO;NO;;;…………….;…………….;………………;……….;-;;;;;;;;
54;B&P-047-ECL-207-35DG - ZJXY;19;0;-120;72;0;-13;37.6;0;-120;35;21;0;C0;6;20;64;58;64;58;6 - 7.3 gr;Polyrex;0.448;0.3;2020-11-30 00:00:00;B;-;;;;;;;;
55;ECL207-35-02;NO;NO;NO;NO;NO;NO;37.6;0;-120;35;21;0;NO;NO;NO;64;58;NO;NO;NO;NO;NO;NO;2011-05-02 00:00:00;0;-;;;;;;;;
56;B&P-047-ECL-208-40DG - ZJXY;22;0;-120;80;0;-13;42.8;0;-120;40;21;0;C0;6;20;64;58;64;58;9,75 - 11,7 gr;Polyrex;0.567 Nm;0.378 Nm;2020-11-30 00:00:00;B;-;;;;;;;;
57;ECL209-27-02;NO;NO;NO;NO;NO;NO;42.8;0;-120;42.8;21;0;NO;NO;NO;64;58;NO;NO;NO;NO;NO;NO;………………;……….;-;;;;;;;;
58;B&P-047-ECL209-27DG - ZJXY;22;0;-120;85;0;-15;42.8;0;-120;42.8625;21;0;C0;6;23;64;58;64;58;9-10,7;Polyrex;67,7cNm/0,677Nm;45,1cNm/0,451Nm;2017-09-18 00:00:00;A;-;;;;;;;;
59;ECL209-45DBL-3;22;0;-120;85;0;-15;35.4;0;-120;45;21;0;C0;6;23;64;58;64;58;9-10,7;Polyrex;…………….;…………….;………………;……….;-;;;;;;;;
60;ECL209-45DBL-3;22;0;-120;85;0;-15;37.85;60;-60;45;0;21;C0/Radial;6;23;64;58;64;58;9-10,;Polyrex;NO;NO;………………;……….;-;;;;;;;;
61;ECL209-45DG;22;0;-120;85;0;-15;42.8;0;-120;45;21;0;C0;6;23;64;58;64;58;9 - 10.7;Polyrex;0.677Nm;0.451Nm;2017-09-18 00:00:00;A;-;;;;;;;;
62;BPB-047-ECL210-50D-3-ZJXY;22;0;-120;90;0;-15;44.2;0;-120;50;21;0;C0;6;23;64;58;64;58;10,9 - 13,1;Polyrex;0,796Nm;0,531Nm;2017-08-29 00:00:00;0;-;;;;;;;;
