Elegido;264;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30
Numero;Codigo;C;C+;C-;D;D+;D-;B;B+;B-;d;d+;d-;GR;GR+;GR-;A;A+;A-;ARO INT+;ARO INT -;ARO EXT +;ARO EXT -;TORQUE DE SELLOS +;TORQUE DE SELLOS -;PORCENTAJE DE GRASA;TIPO DE GRASA;Fecha Rev. Plano;Rev.
39;207-KRRB12;17;0;-127;72;0;-13;25;0;-127;NO;NO;NO;RADIAL;23;7;28.6;127;0;64;58;64;58;0.318;0.247;50% - 70%;polyrex;2017-09-22 00:00:00;D
40;207-KRRB17;17;0;-127;72;0;-13;25;0;-127;NO;NO;NO;RADIAL;5;20;31.8;127;0;64;58;64;58;0.318 Nm;0.247 Nm;60%- 80%;polyrex;2017-11-08 00:00:00;B
41;207-KRRB19;19;0;-120;72;0;-13;37.7;0;-120;NO;NO;NO;RADIAL;15;33;31.877;127;0;64;61;64;61;0.2994 Nm;0.0918 Nm;60% - 80%;polyrex;……………….;……….
42;B&P-048-207-KYYB2 - ZJXY;19;0;-120;72;0;-13;37.694;0;-120;30;50;50;RADIAL;15;33;28.6;127;0;64;58;64;58;45cNm / 0,45Nm;30cNm / 0,3Nm;60 - 80%;polyrex;2017-09-22 00:00:00;C
43;B&P-002-208-16-ZJXY;NO;NO;NO;NO;NO;NO;36.52;0;-127;NO;NO;NO;NO;NO;NO;31.75;127;0;64;58;NO;NO;NO;NO;NO;NO;2016-05-04 00:00:00;0
44;208-5;NO;NO;NO;NO;NO;NO;36.52;0;-120;NO;NO;NO;NO;NO;NO;29.97;127;0;64;58;NO;NO;NO;NO;NO;NO;2016-05-04 00:00:00;0
45;208-K52;NO;NO;NO;NO;NO;NO;28;0;-120;NO;NO;NO;NO;NO;NO;28.6;127;0;64;58;NO;NO;NO;NO;NO;NO;2016-04-26 00:00:00;0
46;208-K6;NO;NO;NO;NO;NO;NO;36.52;0;-120;NO;NO;NO;NO;NO;NO;34.925;127;0;64;58;NO;NO;NO;NO;NO;NO;2016-04-26 00:00:00;0
47;B&P-002-209-K2 - ZJXY;NO;NO;NO;NO;NO;NO;30;0;-120;NO;NO;NO;NO;NO;NO;38.125;127;0;64;58;NO;NO;NO;NO;NO;NO;2016-06-16 00:00:00;0
48;209KRRB2;19;0;-120;85;0;-15;30;0;-120;NO;NO;NO;RaDIAL;33;20;32.125;127;0;64;58;64;58;NO;NO;60-80%;Polyrex;2017-06-06 00:00:00;0
49;209KYYB2;19;0;-120;85;0;-13;30;0;-120;NO;NO;NO;RADIAL;36;18;38.16;127;0;64;58;64;58;67,7cNm / 0,677Nm;45,1cNm / 0,451Nm;10.7 - 14.3;Polyrex;2014-07-01 00:00:00;0
50;209KYYB2-02;NO;NO;NO;NO;NO;NO;30;0;-120;NO;NO;NO;NO;NO;NO;38.16;127;0;64;58;NO;NO;……………………….;……………………….;NO;NO;……………….;……….
51;210-K2;NO;NO;NO;NO;NO;NO;30;0;-120;NO;NO;NO;NO;NO;NO;38.16;127;0;64;58;NO;NO;NO;NO;NO;NO;2016-04-26 00:00:00;0
52;210-PP20-ZJXY;22;0;-127;90;0;-15;36.45;0;-127;NO;NO;NO;C3;36;18;31.775;127;0;64;58;64;58;1.2 Nm;0.91 Nm;60%-50%;Polyrex;2011-04-11 00:00:00;C
53;210-PPB20-ZJXY;22;0;-127;90;0;-15;36.45;0;-127;NO;NO;NO;C3;36;18;31.775;127;0;64;58;64;58;1.2Nm;0.91Nm;50% - 60%;Polyrex;2017-09-22 00:00:00;E
