Empresa;Comp;Numero;Fecha;Producto;Cantidad;Deposito;Ubicacion;Observ;Proveedor;Usuario;OC;CodOC
BPB;IDESP;7065;18/11/2025;B&P-004-SNL519-TG;56;03;X-00-00-00;PO#1223 MID;BESTECH INDUSTRIES LTD;mconde;155;OCREP
BPB;IDESP;7066;18/11/2025;B&P-041-LS10-2RS;1000;03;X-00-00-00;;BESTECH INDUSTRIES LTD;mconde;927;OCBET
BPB;IDESP;7066;18/11/2025;B&P-040-2205-TN-C3;200;03;X-00-00-00;PO#1278 MID;BESTECH INDUSTRIES LTD;mconde;148;OCREP
BPB;IDESP;7066;18/11/2025;B&P-040-1207-TN-C3;500;03;X-00-00-00;PO#1278 MID;BESTECH INDUSTRIES LTD;mconde;148;OCREP
BPB;IDESP;7066;18/11/2025;B&P-040-1205-TN-C3;80;03;X-00-00-00;PO#1278 MID;BESTECH INDUSTRIES LTD;mconde;148;OCREP
BPB;IDESP;7066;18/11/2025;B&P-040-1208-K-TN-C3;19;03;X-00-00-00;PO#1278 MID;BESTECH INDUSTRIES LTD;mconde;148;OCREP
BPB;IDESP;7067;18/11/2025;BPB-033-ASA40-1-REEL;500;03;X-00-00-00;;ESUN GLOBAL CO.,LTD;mconde;1073;OCEUG
BPB;IDESP;7067;18/11/2025;B&P-033-ASA-40-2;500;03;X-00-00-00;;ESUN GLOBAL CO.,LTD;mconde;1073;OCEUG
BPB;IDESP;7067;18/11/2025;B&P-033-ASA-50-1;1000;03;X-00-00-00;;ESUN GLOBAL CO.,LTD;mconde;1073;OCEUG
BPB;IDESP;7067;18/11/2025;BPB-033-ASA50-1-REEL;1200;03;X-00-00-00;;ESUN GLOBAL CO.,LTD;mconde;1073;OCEUG
BPB;IDESP;7067;18/11/2025;B&P-033-ASA-50-2;250;03;X-00-00-00;;ESUN GLOBAL CO.,LTD;mconde;1073;OCEUG
