Elegido;1251;3;4;5;6;7;
Numero;Codigo;Juego;Juego+;Juego-;Fecha Rev. Plano; Rev.;Observaciones
114;BPB-033-ASA80-1H-REE - CHOHO;NO EXIST.;NO EXIST.;NO EXIST.;2016-06-02 00:00:00;A;
115;BPB-033-ASA80-1-REE - CHOHO;NO EXIST.;NO EXIST.;NO EXIST.;2016-05-03 00:00:00;A;
116;ASA-80-2;NO EXIST.;NO EXIST.;NO EXIST.;2016-04-29 00:00:00;0;
117;BPB-133-ASA-80-2-10 - CHOHO;NO EXIST.;NO EXIST.;NO EXIST.;2016-03-10 00:00:00;0;
118;BPB-133-ASA-80-2-12 - CHOHO;NO EXIST.;NO EXIST.;NO EXIST.;2016-03-10 00:00:00;0;
119;BPB-033-ASA80-2-REEL - CHOHO;NO EXIST.;NO EXIST.;NO EXIST.;2016-04-28 00:00:00;0;
120;ATL-X000-03;NO EXIST.;NO EXIST.;NO EXIST.;2016-10-28 00:00:00;0;
121;B2001;NO EXIST.;NO EXIST.;NO EXIST.;……………….;…..;
122;B&P-035-BA-3616-ZOH - CWN;NO EXIST.;NO EXIST.;NO EXIST.;2015-11-11 00:00:00;D;
123;BBT329013;NO EXIST.;NO EXIST.;NO EXIST.;……………….;…..;
124;BH2047-02;NO EXIST.;NO EXIST.;NO EXIST.;……………….;…..;
125;BH2047-15;NO EXIST.;NO EXIST.;NO EXIST.;……………….;…..;
126;BHA-2020-ZO;NO EXIST.;NO EXIST.;NO EXIST.;……………….;…..;
127;BHA-2020-ZOH;NO EXIST.;NO EXIST.;NO EXIST.;……………….;…..;
128;BPB-048-BP-12001 - YS;NO EXIST.;NO EXIST.;NO EXIST.;2017-05-04 00:00:00;F;
129;BP-12011-01;NO EXIST.;NO EXIST.;NO EXIST.;2016-10-04 00:00:00;A;
130;BPB-048-BP-12011-01 - CMI;NO EXIST.;NO EXIST.;NO EXIST.;2016-10-04 00:00:00;A;
131;BP-12011-01-1;NO EXIST.;NO EXIST.;NO EXIST.;2016-09-19 00:00:00;0;
132;BP-12011-02;NO EXIST.;NO EXIST.;NO EXIST.;2016-09-19 00:00:00;0;
133;BP-12011-03;NO EXIST.;NO EXIST.;NO EXIST.;2016-09-19 00:00:00;0;
134;BP-12011-05;NO EXIST.;NO EXIST.;NO EXIST.;2016-09-19 00:00:00;…..;
135;BP-12011-A3;NO EXIST.;NO EXIST.;NO EXIST.;……………….;…..;
136;BPB-037-BP-12011-BD - SNTL;NO EXIST.;NO EXIST.;NO EXIST.;2019-06-27 00:00:00;B;
137;BPB-037-BP-12011-BI - SNTL;NO EXIST.;NO EXIST.;NO EXIST.;2019-06-27 00:00:00;B;
138;BP-13002;NO EXIST.;NO EXIST.;NO EXIST.;……………….;…..;
139;BP-13002-A1;NO EXIST.;NO EXIST.;NO EXIST.;……………….;…..;
140;BP-13002-A2;NO EXIST.;NO EXIST.;NO EXIST.;……………….;…..;
141;BP-13006;NO EXIST.;NO EXIST.;NO EXIST.;……………….;…..;
142;BP-13006;NO EXIST.;NO EXIST.;NO EXIST.;……………….;…..;
143;BP-13006-B1;NO EXIST.;NO EXIST.;NO EXIST.;……………….;…..;
144;BP-13006-B2;NO EXIST.;NO EXIST.;NO EXIST.;……………….;…..;
145;BP-13007;NO EXIST.;NO EXIST.;NO EXIST.;……………….;…..;
146;BP-13007;NO EXIST.;NO EXIST.;NO EXIST.;……………….;…..;
147;BP-13007-B1;NO EXIST.;NO EXIST.;NO EXIST.;……………….;…..;
148;BP-13007-B2;NO EXIST.;NO EXIST.;NO EXIST.;……………….;…..;
149;BP-13008;NO EXIST.;NO EXIST.;NO EXIST.;……………….;…..;
150;BP-13008-B1;NO EXIST.;NO EXIST.;NO EXIST.;……………….;…..;
151;BP-13008-B2;NO EXIST.;NO EXIST.;NO EXIST.;2014-10-20 00:00:00;0;
152;BP-13009;NO EXIST.;NO EXIST.;NO EXIST.;……………….;…..;
153;BP-13009-5;NO EXIST.;NO EXIST.;NO EXIST.;……………….;…..;
154;BP-13009-B1;NO EXIST.;NO EXIST.;NO EXIST.;……………….;…..;
155;BP-13009-B1;NO EXIST.;NO EXIST.;NO EXIST.;……………….;…..;
156;BP-13009-B2;NO EXIST.;NO EXIST.;NO EXIST.;……………….;…..;
157;BP-13010;NO EXIST.;NO EXIST.;NO EXIST.;……………….;…..;
158;BP-13011;NO EXIST.;NO EXIST.;NO EXIST.;……………….;…..;
159;BP-13014;NO EXIST.;NO EXIST.;NO EXIST.;2018-06-21 00:00:00;G;
160;BP-13014-A;NO EXIST.;NO EXIST.;NO EXIST.;2013-07-03 00:00:00;0;
161;BP-13019;NO EXIST.;NO EXIST.;NO EXIST.;……………….;…..;
162;BP-13020;NO EXIST.;NO EXIST.;NO EXIST.;……………….;…..;
163;BP-14002;NO EXIST.;NO EXIST.;NO EXIST.;……………….;…..;
164;BP-15009;NO EXIST.;NO EXIST.;NO EXIST.;……………….;…..;
165;BP-15009-02;NO EXIST.;NO EXIST.;NO EXIST.;2015-09-22 00:00:00;0;
166;BP-15009-BODY;NO EXIST.;NO EXIST.;NO EXIST.;2016-07-29 00:00:00;A;
167;BP-15010;NO EXIST.;NO EXIST.;NO EXIST.;……………….;…..;
168;BP-15010-BODY;NO EXIST.;NO EXIST.;NO EXIST.;2016-07-29 00:00:00;A;
169;BP-16003;NO EXIST.;NO EXIST.;NO EXIST.;2018-08-03 00:00:00;0;
170;BP-16003-09;NO EXIST.;NO EXIST.;NO EXIST.;……………….;…..;
171;BP-16006-A;NO EXIST.;NO EXIST.;NO EXIST.;……………….;…..;
172;BR-16-POSB30;NO EXIST.;NO EXIST.;NO EXIST.;……………….;…..;
173;BT305724-C3;NO EXIST.;NO EXIST.;NO EXIST.;……………….;…..;
174;BUJ353040;NO EXIST.;NO EXIST.;NO EXIST.;……………….;…..;
175;CA550-A1-CHOHO;NO EXIST.;NO EXIST.;NO EXIST.;2017-09-21 00:00:00;0;
176;CA550-A1-CL-CHOHO;NO EXIST.;NO EXIST.;NO EXIST.;2016-05-02 00:00:00;0;
177;CA550-A1-OL;NO EXIST.;NO EXIST.;NO EXIST.;2016-05-02 00:00:00;0;
178;CA550K-19SE2LP;NO EXIST.;NO EXIST.;NO EXIST.;2016-07-05 00:00:00;A;
179;BPB-033-CA550K-19SE4 - CHOHO;NO EXIST.;NO EXIST.;NO EXIST.;2016-07-05 00:00:00;A;
180;BPB-033-CA555R-QX48P - CHOHO;NO EXIST.;NO EXIST.;NO EXIST.;2016-08-25 00:00:00;0;
181;BPB-033-CA627-M40A - CHOHO;NO EXIST.;NO EXIST.;NO EXIST.;2016-08-25 00:00:00;0;
182;CA627-M40A-5;NO EXIST.;NO EXIST.;NO EXIST.;2016-09-09 00:00:00;0;
183;CA627-M40A-7;NO EXIST.;NO EXIST.;NO EXIST.;2016-09-09 00:00:00;0;
184;B&P-005-CAGE206-17 - ZJXY;NO EXIST.;NO EXIST.;NO EXIST.;2015-01-09 00:00:00;0;
185;B&P-005-CAGE207-17 - ZJXY;NO EXIST.;NO EXIST.;NO EXIST.;2016-08-10 00:00:00;C;
186;CAZ-ME9;NO EXIST.;NO EXIST.;NO EXIST.;……………….;…..;
