Elegido;66;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;;;;;;;;;;;;;;;;;;;;;;;;
Numero;Codigo;d;d+;d-;D;D+;D-;C;C+;C-;B;B+;B-;Fw ;Fw+;Fw-;Fecha Rev. Plano;Rev.;Observaciones;;;;;;;;;;;;;;;;;;;;;;;
38;BPB-035-NK-4520-JSGY;45;50;25;55;0;-33;20;0;-250;NO;NO;NO;NO;NO;NO;2022-03-16 00:00:00;A;;;;;;;;;;;;;;;;;;;;;;;;
39;BPB-035-K25X33X20-CWN;25;NO;NO;33;NO;NO;20;-20;-55;NO;NO;NO;NO;NO;NO;2019-09-30 00:00:00;0;;;;;;;;;;;;;;;;;;;;;;;;
40;BPB-035-HK-1412-JSGY;14;34;16;20;NO;NO;12;0;-250;NO;NO;NO;NO;NO;NO;2019-11-19 00:00:00;0;;;;;;;;;;;;;;;;;;;;;;;;
41;BPB-035-BA-3616-ZOH-CWN;57.15;53;15;66.675;NO;NO;25.4;0;-250;NO;NO;NO;NO;NO;NO;2020-11-06 00:00:00;E;;;;;;;;;;;;;;;;;;;;;;;;
42;BPB-035-BHA-1612-ZO-CWN;25.4;38;13;33.338;NO;NO;19.05;0;-250;NO;NO;NO;NO;NO;NO;2019-07-18 00:00:00;D;;;;;;;;;;;;;;;;;;;;;;;;
43;BPB-035-YB-1816-CWN;28.575;38;13;34.925;NO;NO;25.4;0;-250;NO;NO;NO;NO;NO;NO;2012-08-29 00:00:00;0;;;;;;;;;;;;;;;;;;;;;;;;
44;BPB-035-NK-3820-JSGY;38;41;25;48;0;-11;20;0;-120;NO;NO;NO;NO;NO;NO;2021-05-07 00:00:00;C;;;;;;;;;;;;;;;;;;;;;;;;
45;BPB-035-HN-2820-CWN;28;41;20;35;NO;NO;20;0;-250;NO;NO;NO;NO;NO;NO;2022-11-29 00:00:00;A;;;;;;;;;;;;;;;;;;;;;;;;
46;BPB-035-TA-3820-CWN;38;34;9;48;NO;NO;20;0;-250;NO;NO;NO;NO;NO;NO;2019-06-26 00:00:00;0;;;;;;;;;;;;;;;;;;;;;;;;
47;BPB-035-HK-3016-CWN;30;41;20;37;NO;NO;16;0;-200;NO;NO;NO;NO;NO;NO;2016-03-09 00:00:00;A;;;;;;;;;;;;;;;;;;;;;;;;
48;BPB-035-NK-2520-JSGY;25;33;-20;33;0;-11;20;0;-120;NO;NO;NO;NO;NO;NO;2022-03-16 00:00:00;D;;;;;;;;;;;;;;;;;;;;;;;;
49;BPB-035-NK-2830-JSGY;28;33;20;37;0;-11;30;0;-120;NO;NO;NO;NO;NO;NO;2021-05-07 00:00:00;B;;;;;;;;;;;;;;;;;;;;;;;;
50;BPB-035-NK-5025-JSGY;50;41;-25;62;0;-13;25;0;-120;NO;NO;NO;NO;NO;NO;2021-05-07 00:00:00;B;;;;;;;;;;;;;;;;;;;;;;;;
51;B&P-035-YB-1816-CWN;28.575;38;13;34.925;NO;NO;25.4;0;-250;NO;NO;NO;NO;NO;NO;2021-06-22 00:00:00;A;;;;;;;;;;;;;;;;;;;;;;;;
