Elegido;111;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;;;;;;;;;;;;;;;;;;;;;;;;
Numero;Codigo;d;d+;d-;B;B+;B-;T;T+;T-;D;D+;D-;C;C+;C-;HRC CUB+;HRC CUB-;HRC CONO+;HRC CONO-;PERFIL CUB;PERFIL CONO;PERFIL ROD.;RUG.PISTA CONO;RUG. RESPALDO CONO;PISTA CUBETA;CODIGO DE PROD.;Fecha Rev.;Rev.;;;;;;;;;;;;;;;;;;;;;;;;
70;L44610;NO;NO;NO;NO;NO;NO;NO;NO;NO;50.292;0;-16;10.668;0;-120;;;;;;;;;;;BPB-054-L-44610;2010-10-25 00:00:00;5;;;;;;;;;;;;;;;;;;;;;;;;
71;L44643;25.4;0;-12;14.732;0;-120;NO;NO;NO;NO;NO;NO;NO;NO;NO;;;;;;;;;;;BPB-053-L-44643;2010-10-25 00:00:00;5;;;;;;;;;;;;;;;;;;;;;;;;
72;L-45410 (CUBETA);NO;NO;NO;NO;NO;NO;NO;NO;NO;50.292;0;-16;10.668;0;-120;;;;;;;;;;;BPB-054-L-45410;2010-10-25 00:00:00;5;;;;;;;;;;;;;;;;;;;;;;;;
73;L-45449 (CONO);29;0;-12;14.732;0;-120;NO;NO;NO;NO;NO;NO;NO;NO;NO;;;;;;;;;;;BPB-053-L-45449;2010-10-25 00:00:00;5;;;;;;;;;;;;;;;;;;;;;;;;
74;LM102910;NO;NO;NO;NO;NO;NO;NO;NO;NO;73.431;25;0;15.748;0;-120;;;;;;;;;;;BPB-054-LM-102910;2010-10-25 00:00:00;5;;;;;;;;;;;;;;;;;;;;;;;;
75;LM102949 (CONO);45.242;13;0;19.812;0;-120;NO;NO;NO;NO;NO;NO;NO;NO;NO;;;;;;;;;;;BPB-053-LM102949;2010-10-25 00:00:00;5;;;;;;;;;;;;;;;;;;;;;;;;
76;LM104911;NO;NO;NO;NO;NO;NO;NO;NO;NO;82.55;0;-18;16.51;0;-120;;;;;;;;;;;BPB-054-LM104911;2010-10-25 00:00:00;5;;;;;;;;;;;;;;;;;;;;;;;;
77;LM-104949 (CONO);50.8;0;-15;22.225;0;-150;NO;NO;NO;NO;NO;NO;NO;NO;NO;;;;;;;;;;;BPB-053-LM-104949;2010-10-25 00:00:00;5;;;;;;;;;;;;;;;;;;;;;;;;
78;LM11710;NO;NO;NO;NO;NO;NO;NO;NO;NO;39.87;25;0;10.66;0;-120;;;;;;;;;;;BPB-054-LM-11710;2010-10-25 00:00:00;5;;;;;;;;;;;;;;;;;;;;;;;;
79;LM-11749 (CONO);17.462;0;-12;14.605;0;-120;NO;NO;NO;NO;NO;NO;NO;NO;NO;;;;;;;;;;;BPB-053-LM-11749;2010-10-25 00:00:00;5;;;;;;;;;;;;;;;;;;;;;;;;
80;LM12710;NO;NO;NO;NO;NO;NO;NO;NO;NO;45.237;25;0;12.065;0;-120;;;;;;;;;;;BPB-054-LM-12710;2010-10-25 00:00:00;5;;;;;;;;;;;;;;;;;;;;;;;;
81;LM-12749 (CONO);21.986;0;-12;16.637;0;-120;NO;NO;NO;NO;NO;NO;NO;NO;NO;;;;;;;;;;;BPB-053-LM-12749;2010-10-25 00:00:00;5;;;;;;;;;;;;;;;;;;;;;;;;
82;LM-29710 (CUBETA);NO;NO;NO;NO;NO;NO;NO;NO;NO;65.088;0;-16;13.97;0;-120;;;;;;;;;;;BPB-054-LM-29710;2010-10-25 00:00:00;5;;;;;;;;;;;;;;;;;;;;;;;;
83;LM-29749 (CONO);38.1;0;-12;18.288;0;-120;NO;NO;NO;NO;NO;NO;NO;NO;NO;;;;;;;;;;;BPB-053-LM-29749;2010-10-25 00:00:00;5;;;;;;;;;;;;;;;;;;;;;;;;
84;LM44610;NO;NO;NO;NO;NO;NO;NO;NO;NO;50.292;0;-16;10.668;0;-120;;;;;;;;;;;BPB-054-LM44610;2010-10-25 00:00:00;5;;;;;;;;;;;;;;;;;;;;;;;;
85;LM44649;26.988;0;-12;14.732;0;-120;NO;NO;NO;NO;NO;NO;NO;NO;NO;;;;;;;;;;;BPB-053-LM 44649;2010-10-25 00:00:00;5;;;;;;;;;;;;;;;;;;;;;;;;
86;LM-48510 (CUBETA);NO;NO;NO;NO;NO;NO;NO;NO;NO;65.088;0;-16;13.97;0;-120;;;;;;;;;;;BPB-LM-48510;2010-10-25 00:00:00;5;;;;;;;;;;;;;;;;;;;;;;;;
87;LM-48548 (CONO);34.925;0;-12;18.288;0;-120;NO;NO;NO;NO;NO;NO;NO;NO;NO;;;;;;;;;;;BPB-053-LM-48548;2010-10-25 00:00:00;5;;;;;;;;;;;;;;;;;;;;;;;;
88;LM-67010;NO;NO;NO;NO;NO;NO;NO;NO;NO;59.131;25;0;11.811;0;-120;;;;;;;;;;;BPB-054-LM-67010;2010-10-25 00:00:00;5;;;;;;;;;;;;;;;;;;;;;;;;
89;LM-67048 (CONO);31.75;0;-12;16.764;0;-120;NO;NO;NO;NO;NO;NO;NO;NO;NO;;;;;;;;;;;BPB-053-LM-67048;2010-10-25 00:00:00;5;;;;;;;;;;;;;;;;;;;;;;;;
90;S33SR;32;0;-12;65.1;0;-200;57;0;-120;58;0;-16;57;0;-120;;;;;;;;;;;BPB-048-S33SR;2010-10-25 00:00:00;5;;;;;;;;;;;;;;;;;;;;;;;;
91;SET 10;39.689;13;0;22.076;76;-254;18.778;200;0;73.04;25;0;15.3;51;-254;;;;;;;;;;;BPB-031-SET-10;2010-10-25 00:00:00;5;;;;;;;;;;;;;;;;;;;;;;;;
92;SET 20;39.09;13;0;22.076;76;-254;19.4;200;0;80;0;-13;15.3;51;-254;;;;;;;;;;;BPB-031-SET-20;2010-10-25 00:00:00;5;;;;;;;;;;;;;;;;;;;;;;;;
93;SET 80;45;0;-12;26;0;-120;23.75;200;0;80;0;-16;;;;;;;;;;;;;;BPB-031-SET-80;2010-10-25 00:00:00;5;;;;;;;;;;;;;;;;;;;;;;;;
94;SET 9;35;0;-12;20.6;0;-120;18;200;0;65;0;-16;14;0;-120;;;;;;;;;;;BPB-031-SET-9;2010-10-25 00:00:00;5;;;;;;;;;;;;;;;;;;;;;;;;
95;TCX203;17;0;-12;12;0;-120;13.25;200;0;40;0;-14;11;0;-12;;;;;;;;;;;BPB-053-TCX203;2010-10-25 00:00:00;5;;;;;;;;;;;;;;;;;;;;;;;;
96;TCX204;20;0;-12;14;0;-120;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;BPB-053-TCX204;2011-06-08 00:00:00;5;;;;;;;;;;;;;;;;;;;;;;;;
97;TCX205;25;0;-12;15;0;-120;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;BPB-053-TCX205;2011-06-08 00:00:00;5;;;;;;;;;;;;;;;;;;;;;;;;
98;TCX206;30;0;-12;16;0;-120;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;BPB-053-TCX206;2011-06-08 00:00:00;5;;;;;;;;;;;;;;;;;;;;;;;;
99;TCX208;40;0;-12;18;0;-120;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;BPB-053-TCX208;2011-06-08 00:00:00;5;;;;;;;;;;;;;;;;;;;;;;;;
100;TCX209;45;0;-12;19;0;-120;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;BPB-053-TCX209;2011-05-30 00:00:00;5;;;;;;;;;;;;;;;;;;;;;;;;
101;TCX211;55;0;-150;22.75;200;0;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;BPB-053-TCX211;2011-05-09 00:00:00;5;;;;;;;;;;;;;;;;;;;;;;;;
102;TCX212;60;0;-15;22;0;-150;NO;NO;NO;NO;NO;NO;NO;NO;NO;;;;;;;;;;;BPB-053-TCX212;2010-10-25 00:00:00;5;;;;;;;;;;;;;;;;;;;;;;;;
103;TCX216;80;0;-15;26;0;-150;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;BPB-053-TCX216;2011-01-21 00:00:00;5;;;;;;;;;;;;;;;;;;;;;;;;
104;TCX305;25;0;-12;17;0;-120;NO;NO;NO;NO;NO;NO;NO;NO;NO;;;;;;;;;;;BPB-053-TCX305;2010-10-25 00:00:00;5;;;;;;;;;;;;;;;;;;;;;;;;
105;TCX308;40;0;-12;23;0;-120;NO;NO;NO;NO;NO;NO;NO;NO;NO;;;;;;;;;;;BPB-053-TCX308;2010-10-25 00:00:00;5;;;;;;;;;;;;;;;;;;;;;;;;
106;TCX309;45;0;-12;25;0;-100;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;64;58;NO;CONVEX;CONVEX;NO;NO;NO;……………………;2012-03-29 00:00:00;5;;;;;;;;;;;;;;;;;;;;;;;;
107;TCY203;NO;NO;NO;NO;NO;NO;NO;NO;NO;40;0;-14;11;0;-120;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;BPB-054-TCY203;2011-04-07 00:00:00;5;;;;;;;;;;;;;;;;;;;;;;;;
108;TCY204;NO;NO;NO;NO;NO;NO;NO;NO;NO;47;0;-14;12;0;-120;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;BPB-054-TCY204;2011-04-07 00:00:00;5;;;;;;;;;;;;;;;;;;;;;;;;
109;TCY205;NO;NO;NO;NO;NO;NO;NO;NO;NO;52;0;-12;13;0;-120;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;BPB-054-TCY205;2011-04-26 00:00:00;5;;;;;;;;;;;;;;;;;;;;;;;;
110;TCY206;NO;NO;NO;NO;NO;NO;NO;NO;NO;62;-;-16;14;0;-120;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;BPB-054-TCY206;2011-05-02 00:00:00;5;;;;;;;;;;;;;;;;;;;;;;;;
111;TCY207;NO;NO;NO;NO;NO;NO;NO;NO;NO;72;0;-16;15;0;-120;62;58;NO;NO;CONVEX;NO;NO;NO;NO;NO;BPB-054-TCY207;2012-10-11 00:00:00;5;;;;;;;;;;;;;;;;;;;;;;;;
112;TCY208;NO;NO;NO;NO;NO;NO;NO;NO;NO;80;0;-16;16;0;-120;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;BPB-054-TCY208;2011-05-20 00:00:00;5;;;;;;;;;;;;;;;;;;;;;;;;
113;TCY209;NO;NO;NO;NO;NO;NO;NO;NO;NO;85;0;-18;16;0;-120;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;BPB-054-TCY209;2011-04-07 00:00:00;5;;;;;;;;;;;;;;;;;;;;;;;;
114;TCY210;NO;NO;NO;NO;NO;NO;NO;NO;NO;90;0;-18;17;0;-120;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;BPB-054-TCY210;2011-09-02 00:00:00;5;;;;;;;;;;;;;;;;;;;;;;;;
115;TCY211;NO;NO;NO;NO;NO;NO;NO;NO;NO;100;0;-18;18;0;-150;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;BPB-054-TCY211;2011-02-07 00:00:00;5;;;;;;;;;;;;;;;;;;;;;;;;
116;TCY212;NO;NO;NO;NO;NO;NO;NO;NO;NO;110;0;-18;19;0;-150;;;;;;;;;;;BPB-054-TCY212;2010-10-25 00:00:00;5;;;;;;;;;;;;;;;;;;;;;;;;
117;TCY216;NO;NO;NO;NO;NO;NO;NO;NO;NO;140;0;-20;22;0;-150;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;BPB-054-TCY216;2011-04-07 00:00:00;5;;;;;;;;;;;;;;;;;;;;;;;;
118;TCY305;NO;NO;NO;NO;NO;NO;NO;NO;NO;62;0;-16;15;0;-120;;;;;;;;;;;BPB-054-TCY305;2010-10-25 00:00:00;5;;;;;;;;;;;;;;;;;;;;;;;;
119;TCY309;NO;NO;NO;NO;NO;NO;NO;NO;NO;100;0;-18;22;0;-200;64;58;NO;NO;CONVEX;NO;NO;NO;NO;NO;BPB-054-TCY309;2012-04-19 00:00:00;5;;;;;;;;;;;;;;;;;;;;;;;;
