host_id,item,Fecha Partida,produc,descrip_larga,Llave,OC Tipo,OC numero,ubi,obser,canti_real_item,Cant_Despachada,canti_real,Comp,Num,Fecha_ing,Subgrupo,costo_prome_ponde,depO,uni_medi_stock,depo_descrip,,,Observacion
25876,6088IC06000109W,2026-04-09,B&P-040-51120,Rod. Axial de Bolas = 100x135x25,B&P-040-511206088IC06000109W,OCREP,176,G-06-01-03,,200,200,200,IDESP,7145,2026-04-09,Rod. Varios,0,101,C/Uno,Control de Calidad,,,
25876,6088IC06000109W,2026-04-09,B&P-040-51209,Rod. Axial de Bolas = 45x73x20_x000D_,B&P-040-512096088IC06000109W,OCOMI,1307,G-16-05-01,,200,200,291,IDESP,7145,2026-04-09,Rod. Varios,0,101,C/Uno,Control de Calidad,,,
25876,6088IC06000109W,2026-04-09,B&P-042-22212CKW33C3,Rod. de rodillos a rotulas - Eje Conico = 60x110x28_x000D_,B&P-042-22212CKW33C36088IC06000109W,OCOMI,1307,G-21-05-01,,25,25,26,IDESP,7145,2026-04-09,Rod.Esfericos,0,101,C/Uno,Control de Calidad,,,
25876,6088IC06000109W,2026-04-09,B&P-042-22213CKW33C3,Rod. de rodillos a rotulas - Eje Conico = 65x120x31,B&P-042-22213CKW33C36088IC06000109W,OCOMI,1307,G-18-04-02,,5,5,20,IDESP,7145,2026-04-09,Rod.Esfericos,0,101,C/Uno,Control de Calidad,,,
25876,6088IC06000109W,2026-04-09,B&P-042-22216CKW33C3,Rod. de rodillos a rotulas - Eje Conico = 80x140x33,B&P-042-22216CKW33C36088IC06000109W,OCOMI,1307,B-10-04-03,,25,25,34,IDESP,7145,2026-04-09,Rod.Esfericos,0,101,C/Uno,Control de Calidad,,,
25876,6088IC06000109W,2026-04-09,B&P-045-PFT-5-Z,Sop.de chapa Triangular c/3 aguj,B&P-045-PFT-5-Z6088IC06000109W,OCREP,176,E-22-02-03,,1005,1005,1020,IDESP,7145,2026-04-09,SOPORTE DE CHAPAS,0,101,C/Uno,Control de Calidad,,,
25876,0088IC06000030J,2020-04-15,B&P-047-SAB-206-30DG,Tipo UC/YAR = 30x62x18/38.1,B&P-047-SAB-206-30DG0088IC06000030J,,0,I-10-01-01,,1008,1008,1008,INSI,1052,2026-04-09,AUTOCENTRANTES,0,101,C/Uno,Control de Calidad,,,
25876,0088IC06000065R,2020-08-10,B&P-047-SAB-207-35DG,Tipo UC/YAR = 35x72x19/42.9,B&P-047-SAB-207-35DG0088IC06000065R,,0,H-07-01-01,,518,528,592,INSI,1052,2026-04-09,AUTOCENTRANTES,-4.2467,101,C/Uno,Control de Calidad,,,
25876,0088IC06000065R,2020-08-10,B&P-047-SAB-207-35DG,Tipo UC/YAR = 35x72x19/42.9,B&P-047-SAB-207-35DG0088IC06000065R,,0,V-00-00-00,,10,528,592,INSI,1052,2026-04-09,AUTOCENTRANTES,-4.2467,101,C/Uno,Control de Calidad,,,
25876,1088IC05000106N,2021-07-28,B&P-048-203-KRR3-E2,"Seguidor de Leva = 15.95x2""x15",B&P-048-203-KRR3-E21088IC05000106N,,0,H-04-01-02,,1560,1560,1560,INSI,1052,2026-04-09,Rodamientos Esp.Agricolas,-0.0016,101,C/Uno,Control de Calidad,,,
